Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Medical City Behavioral Health Mckinney,045403,TX,14689,14159,14781,14251,14128,15103,14220,14638,14559,14774,14648,MEDICAL CITY BEHAVIORAL HEALTH MCKINNEY,14540.90909090909,11,,,,,,No match,85.0,No,,Medical City Dallas,77.4,Fuzzy name
Matagorda Regional Medical Center,045465,TX,4941,4776,5005,4991,4966,5210,4438,5088,4696,4597,4446,MATAGORDA REGIONAL MED CTR,4832.181818181818,11,MATAGORDA REGIONAL MEDICAL CENTER,TX,BAY CITY,5.0,MATAGORDA REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Wilson N Jones Regional Medical Center,045469,TX,11360,10982,11508,11475,11419,11981,10204,11700,10798,10569,10222,WILSON N JONES REGIONAL MED CTR,11110.727272727272,11,WILSON N JONES REGIONAL MEDICAL CENTER,TX,SHERMAN,2.0,WILSON N JONES REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
The Medical Center Of Southeast Texas,045518,TX,8785,8443,8809,8637,9063,9377,8595,9104,4942,8226,9880,MED CTR SOUTHEAST TEXAS,8532.818181818182,11,THE MEDICAL CENTER OF SOUTHEAST TEXAS,TX,PORT ARTHUR,3.0,MED CTR SOUTHEAST TEXAS,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Texas Health Springwood Behavioral Health Hospital,045639,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH SPRINGWOOD BEHAVIORAL HEALTH HOSPITAL,32096.090909090908,10,,,,,,No match,85.7,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
"Scenic Mountain Medical Center, A Steward Family Hospital",045653,TX,9824,9441,9850,9659,10134,10485,9611,10180,9657,9782,9775,SCENIC MOUNTAIN MED CTR A STEWARD FAMILY HOSPITAL,9854.363636363636,11,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
University Of Texas Health Science Center At Tyler,045690,TX,11527,11112,11600,11184,11087,11853,11159,11488,11426,11594,11496,UNIVERSITY TEXAS HEALTH SCIENCE CENTER TYLER,11411.454545454546,11,UNIVERSITY HEALTH SYSTEM,TX,SAN ANTONIO,3.0,UNIVERSITY,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,60.0,Fuzzy name
Texas Health Presbyterian Hospital Plano,045771,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,TX,PLANO,4.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,Exact/fuzzy hospital name,100.0,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Peterson Regional Medical Center,045007,TX,7344,7967,8268,7058,6965,7070,5928,6544,5874,5845,5606,PETERSON REGIONAL MED CTR,6769.909090909091,11,PETERSON REGIONAL MEDICAL CENTER,TX,KERRVILLE,4.0,PETERSON REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Ut Southwestern University Hospital,045044,TX,20105,19316,20130,19782,20732,21430,19686,20836,19787,20035,20008,UT SOUTHWESTERN UNIVERSITY HOSPITAL,20167.909090909092,11,UT OF TEXAS  SOUTHWESTERN UNIVERSITY HOSPITAL - WILLIAM P. CLEMENTS JR.,TX,DALLAS,4.0,UT TEXAS SOUTHWESTERN UNIVERSITY HOSPITAL WILLIAM P CLEMENTS JR,Exact/fuzzy hospital name,100.0,Yes,BDC,UT Southwestern University Hosp,93.9,Fuzzy name
Chi St. Luke's Health Brazosport,045072,TX,10666,10250,10695,10487,11003,11385,10435,11053,10486,10621,10614,CHI ST LUKE S HEALTH BRAZOSPORT,10699.545454545454,11,CHI ST LUKE'S HEALTH BRAZOSPORT,TX,LAKE JACKSON,4.0,CHI ST LUKE S HEALTH BRAZOSPORT,Exact/fuzzy hospital name,100.0,No,,Chi St Lukes Hlth Baylor Coll Med,68.8,Fuzzy name
Baylor Scott & White Medical Center - Irving,045079,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE MED CTR IRVING,11762.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,TX,IRVING,5.0,BAYLOR SCOTT AND WHITE MED CTR IRVING,Exact/fuzzy hospital name,100.0,No,,Baylor University Medical Center,71.8,Fuzzy name
Titus Regional Medical Center,045080,TX,6167,6392,5887,6592,6524,6652,5150,5793,4216,4508,4335,TITUS REGIONAL MED CTR,5656.0,11,TITUS REGIONAL MEDICAL CENTER,TX,MOUNT PLEASANT,3.0,TITUS REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Fort Duncan Regional Medical Center,045092,TX,10470,9877,10308,10626,10574,10218,10190,10679,10014,10150,10071,FORT DUNCAN REGIONAL MED CTR,10288.818181818182,11,FORT DUNCAN MEDICAL CENTER,TX,EAGLE PASS,3.0,FORT DUNCAN MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Hca Houston Healthcare Southeast,045097,TX,14791,14211,14809,14554,15253,15765,14483,23460,14557,14739,14720,HCA HOUSTON HEALTHCARE SOUTHEAST,15576.545454545454,11,HCA HOUSTON HEALTHCARE SOUTHEAST,TX,PASADENA,3.0,HCA HOUSTON HEALTHCARE SOUTHEAST,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST WEST HOSPITAL,60.3,Fuzzy name
Baylor Scott & White Medical Center Hillcrest,045101,TX,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,BAYLOR SCOTT AND WHITE MED CTR HILLCREST,11180.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST,TX,WACO,4.0,BAYLOR SCOTT AND WHITE MED CTR HILLCREST,Exact/fuzzy hospital name,100.0,No,,Baylor University Medical Center,71.8,Fuzzy name
Las Palmas Del Sol Healthcare,045107,TX,16511,15864,16531,16246,17026,17599,16167,17112,16250,16454,16431,LAS PALMAS DEL SOL HEALTHCARE,16562.81818181818,11,,,,,,No match,65.7,No,,Texas Health Hospital Frisco,49.1,Fuzzy name
South Texas Health System,045119,TX,9427,8893,9280,9567,9520,9199,9174,9614,9016,9139,9067,SOUTH TEXAS,9263.272727272728,11,SOUTH TEXAS HEALTH SYSTEM,TX,EDINBURG,4.0,SOUTH TEXAS,Exact/fuzzy hospital name,100.0,Yes,BDC+,SOUTH TEXAS SPINE & SURGICAL HOSP,100.0,Fuzzy name
Medical Center Hospital,045132,TX,8352,8026,8374,8211,8615,8914,8171,8655,8210,8316,8310,MED CTR HOSPITAL,8377.636363636364,11,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Bs&W Surgical Hospital Fort Worth,66.7,Fuzzy name
Detar Healthcare System,045147,TX,10238,10000,10101,10875,10252,10936,8767,9401,8005,7697,7635,DETAR,9446.09090909091,11,,,,,,No match,41.7,No,,Texoma Medical Center,31.6,Fuzzy name
Chi St. Luke's Health Baylor College Of Medicine Medical Center,045193,TX,14207,13653,14245,13968,14656,15164,13899,14723,13967,14147,14137,CHI ST LUKE S HEALTH BAYLOR COLLEGE MEDICINE MED CTR,14251.454545454546,11,,,,,,No match,85.0,No,,Chi St Lukes Hlth Baylor Coll Med,77.6,Fuzzy name
Northwest Healthcare System,045209,TX,11244,10607,11070,11411,11356,10973,10943,11468,10755,10901,10815,NORTHWEST,11049.363636363636,11,NORTHWEST TEXAS HOSPITAL,TX,AMARILLO,3.0,NORTHWEST TEXAS HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Baylor University Medical Center,35.3,Fuzzy name
Chi St Luke's Health Memorial Lufkin,045211,TX,9763,9382,9789,9598,10071,10420,9551,10117,9597,9721,9714,CHI ST LUKE S HEALTH MEMORIAL LUFKIN,9793.0,11,CHI ST LUKES HEALTH MEMORIAL LUFKIN,TX,LUFKIN,2.0,CHI ST LUKES HEALTH MEMORIAL LUFKIN,Exact/fuzzy hospital name,98.6,No,,TX Health Arlington Memorial Hosp,66.7,Fuzzy name
Baptist St. Anthony's Hospital,045231,TX,11851,11389,11883,11652,12225,12649,11594,12281,11650,11801,11793,BAPTIST ST ANTHONY S HOSPITAL,11888.0,11,,,,,,No match,80.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,71.2,Fuzzy name
Reba Mcentire Center For Rehabilitation,045324,TX,14135,13334,13915,14345,14275,13794,13756,14416,13519,13703,13595,REBA MCENTIRE CENTER FOR REHABILITATION,13889.727272727272,11,,,,,,No match,52.9,No,,North Central Surgical Center,52.9,Fuzzy name
Huntsville Memorial Hospital,045347,TX,9366,9001,9391,9209,9662,9997,9163,9706,9208,9327,9320,HUNTSVILLE MEMORIAL HOSPITAL,9395.454545454546,11,MEMORIAL HOSPITAL,TX,GONZALES,,MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Midland Memorial Hospital,81.0,Fuzzy name
Hunt Regional Healthcare,045352,TX,5642,6881,7184,5932,6866,7340,6911,7114,7076,7180,7119,HUNT REGIONAL HEALTHCARE,6840.454545454545,11,,,,,,No match,76.5,No,,TX Health Presby Hosp Rockwall,51.9,Fuzzy name
Houston Methodist Hospital,045358,TX,17137,16469,17183,16849,17678,18291,16766,17759,16847,17065,17052,HOUSTON METHODIST HOSPITAL,17190.545454545456,11,HOUSTON METHODIST HOSPITAL,TX,HOUSTON,5.0,HOUSTON METHODIST HOSPITAL,Exact/fuzzy hospital name,100.0,Yes,BDC,HOUSTON METHODIST HOSPITAL,100.0,Exact normalized name
St David's Medical Center,045431,TX,15453,14847,15473,15206,15936,16472,15131,16016,15209,15400,15379,ST DAVID S MED CTR,15502.0,11,ST DAVID'S MEDICAL CENTER,TX,AUSTIN,4.0,ST DAVID S MED CTR,Exact/fuzzy hospital name,100.0,No,,BS&W MEDICAL CENTER FRISCO,68.3,Fuzzy name
Texas Health Presbyterian Hospital Dallas,045462,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,TX,DALLAS,4.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,Exact/fuzzy hospital name,100.0,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Cecil R. Bomar Rehabilitation Center,045508,TX,4514,8013,8365,4745,7995,8547,6031,8284,8239,8361,8290,CECIL R BOMAR REHABILITATION CENTER,7398.545454545455,11,,,,,,No match,59.4,No,,Ascension Seton Med Center Austin,50.0,Fuzzy name
Baylor Scott & White Medical Center - Grapevine,045563,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE MED CTR GRAPEVINE,11762.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,TX,GRAPEVINE,4.0,BAYLOR SCOTT AND WHITE MED CTR GRAPEVINE,Exact/fuzzy hospital name,100.0,No,,Baylor University Medical Center,71.8,Fuzzy name
Hca Houston Healthcare Clear Lake,045617,TX,12580,12087,12596,12379,12973,13409,12318,19202,12382,12537,12520,HCA HOUSTON HEALTHCARE CLEAR LAKE,13180.272727272728,11,HCA HOUSTON HEALTHCARE CLEAR LAKE,TX,WEBSTER,4.0,HCA HOUSTON HEALTHCARE CLEAR LAKE,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,52.5,Fuzzy name
Hca Houston Healthcare Northwest,045638,TX,14606,14034,14624,14372,15062,15569,14302,22843,14376,14556,14536,HCA HOUSTON HEALTHCARE NORTHWEST,15352.727272727272,11,HCA HOUSTON HEALTHCARE NORTHWEST,TX,HOUSTON,2.0,HCA HOUSTON HEALTHCARE NORTHWEST,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST WEST HOSPITAL,63.5,Fuzzy name
Hca Houston Healthcare West,045644,TX,13808,13266,13825,13587,14239,14718,13520,24415,13590,13760,13741,HCA HOUSTON HEALTHCARE WEST,14769.90909090909,11,HCA HOUSTON HEALTHCARE WEST,TX,HOUSTON,1.0,HCA HOUSTON HEALTHCARE WEST,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST WEST HOSPITAL,65.5,Fuzzy name
Medical City Dallas,045647,TX,17067,16451,17174,16559,16415,17549,16522,17008,16917,17166,17020,MEDICAL CITY DALLAS,16895.272727272728,11,MEDICAL CITY DALLAS HOSPITAL,TX,DALLAS,3.0,MEDICAL CITY DALLAS HOSPITAL,Exact/fuzzy hospital name,100.0,Yes,BDC,Medical City Dallas,100.0,Exact normalized name
Medical City Plano,045651,TX,16395,15804,16499,15907,15769,16858,15872,16339,16251,16491,16350,MEDICAL CITY PLANO,16230.454545454546,11,MEDICAL CITY PLANO,TX,PLANO,3.0,MEDICAL CITY PLANO,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,81.1,Fuzzy name
Odessa Regional Medical Center,045661,TX,6556,6300,6573,6445,6763,6997,6414,6794,6445,6528,6523,ODESSA REGIONAL MED CTR,6576.181818181818,11,ODESSA REGIONAL MEDICAL CENTER,TX,ODESSA,3.0,ODESSA REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Medical City Lewisville,045669,TX,14562,14036,14653,14128,14006,14973,14096,14512,14433,14646,14522,MEDICAL CITY LEWISVILLE,14415.181818181818,11,MEDICAL CITY LEWISVILLE,TX,LEWISVILLE,3.0,MEDICAL CITY LEWISVILLE,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,77.4,Fuzzy name
Hca Houston Healthcare Tomball,045670,TX,13842,13299,13859,13620,14274,14754,13554,22084,13624,13794,13775,HCA HOUSTON HEALTHCARE TOMBALL,14589.0,11,HCA HOUSTON HEALTHCARE TOMBALL,TX,TOMBALL,3.0,HCA HOUSTON HEALTHCARE TOMBALL,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,55.2,Fuzzy name
Medical City Fort Worth,045672,TX,15165,14618,15260,14713,14586,15593,14681,15113,15031,15253,15123,MEDICAL CITY FORT WORTH,15012.363636363636,11,MEDICAL CITY FORT WORTH,TX,FORT WORTH,2.0,MEDICAL CITY FORT WORTH,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,77.4,Fuzzy name
Medical City Arlington,045675,TX,14732,14201,14825,14293,14170,15148,14262,14681,14602,14818,14692,MEDICAL CITY ARLINGTON,14584.0,11,MEDICAL CITY ARLINGTON,TX,ARLINGTON,2.0,MEDICAL CITY ARLINGTON,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,77.4,Fuzzy name
Rio Grande Regional Hospital,045711,TX,13958,13411,13976,13734,14394,14878,13667,14466,13738,13910,13891,RIO GRANDE REGIONAL HOSPITAL,14002.09090909091,11,RIO GRANDE REGIONAL HOSPITAL,TX,MCALLEN,4.0,RIO GRANDE REGIONAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,MEMORIAL HERMANN SW HOSPITAL,64.3,Fuzzy name
Palestine Regional Medical Center,045747,TX,6308,6161,6223,6700,6316,6737,5401,5792,4932,4742,4704,PALESTINE REGIONAL MED CTR,5819.636363636364,11,PALESTINE REGIONAL MEDICAL CENTER,TX,PALESTINE,1.0,PALESTINE REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Hca Houston Healthcare Kingwood,045775,TX,14606,14034,14624,14372,15062,15569,14302,22843,14376,14556,14536,HCA HOUSTON HEALTHCARE KINGWOOD,15352.727272727272,11,HCA HOUSTON HEALTHCARE KINGWOOD,TX,KINGWOOD,3.0,HCA HOUSTON HEALTHCARE KINGWOOD,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,56.1,Fuzzy name
Corpus Christi Medical Center,045788,TX,11975,11505,11990,11783,12349,12764,11725,12410,11786,11933,11917,CORPUS CHRISTI MED CTR,12012.454545454546,11,"CORPUS CHRISTI MEDICAL CENTER,THE",TX,CORPUS CHRISTI,4.0,CORPUS CHRISTI MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Christus St Michael Rehabilitation Hospital,045801,TX,11981,11511,11996,11789,12355,12770,11731,12417,11792,11939,11923,CHRISTUS ST MICHAEL REHABILITATION HOSPITAL,12018.545454545454,11,CHRISTUS ST MICHAEL HEALTH SYSTEM,TX,TEXARKANA,3.0,CHRISTUS ST MICHAEL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST WEST HOSPITAL,56.8,Fuzzy name
St. Luke's The Woodlands Hospital,045862,TX,12422,11937,12455,12213,12814,13258,12153,12872,12211,12369,12360,ST LUKE S WOODLANDS HOSPITAL,12460.363636363636,11,ST LUKE'S THE WOODLANDS HOSPITAL,TX,THE WOODLANDS,3.0,ST LUKE S WOODLANDS HOSPITAL,Exact/fuzzy hospital name,100.0,Review,BDC,Chi St Lukes The Woodlands Hsptl,85.7,Fuzzy name
"Doctors Hospital At Renaissance, Ltd",045869,TX,12977,12469,12993,12769,13382,13833,12707,13449,12772,12932,12915,DOCTORS HOSPITAL RENAISSANCE LTD,13018.0,11,,,,,,No match,91.5,Yes,BDC+,DOCTORS HOSPITAL AT RENAISSANCE,100.0,Fuzzy name
Kindred Hospital Houston Medical Center,004523,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL HOUSTON MED CTR,0.0,0,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,76.2,Fuzzy name
Cornerstone Specialty Hospitals Austin,004534,TX,0,0,0,0,0,0,0,0,0,0,0,CORNERSTONE SPECIALTY HOSPITALS AUSTIN,0.0,0,,,,,,No match,74.6,No,,PHYSICIANS SURGICAL HOSPITALS LLC,56.3,Fuzzy name
Kindred Hospital Houston Nw,004539,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL HOUSTON NW,0.0,0,,,,,,No match,80.0,No,,HOUSTON METHODIST HOSPITAL,76.2,Fuzzy name
Post Acute Medical At Luling Llc,004562,TX,0,0,0,0,0,0,0,0,0,0,0,POST ACUTE MEDICAL LULING LLC,0.0,0,,,,,,No match,64.2,No,,Medical City Dallas,58.3,Fuzzy name
Kindred Hospital Sugar Land,004580,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL SUGAR LAND,0.0,0,,,,,,No match,82.6,No,,HOUSTON METHODIST SUGAR LAND HOSP,63.3,Fuzzy name
Post Acute Medical At Victoria Llc,004594,TX,0,0,0,0,0,0,0,0,0,0,0,POST ACUTE MEDICAL VICTORIA LLC,0.0,0,,,,,,No match,64.4,No,,Methodist Richardson Medical Ctr,57.1,Fuzzy name
Pam Specialty Hospital Of New Braunfels,004506,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL NEW BRAUNFELS,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,60.6,Fuzzy name
Kindred Hospital Dallas Central,004508,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL DALLAS CENTRAL,0.0,0,,,,,,No match,80.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,72.1,Fuzzy name
Citizens Medical Center County Of Victoria,045023,TX,7208,6800,7096,7315,7280,7034,7015,7352,6894,6988,6933,CITIZENS MED CTR COUNTY VICTORIA,7083.181818181818,11,CITIZENS MEDICAL CENTER,TX,VICTORIA,3.0,CITIZENS MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Christus Good Shepherd Medical Center,045032,TX,8824,8478,8835,8682,9099,9405,8640,9145,8684,8793,8781,CHRISTUS GOOD SHEPHERD MED CTR,8851.454545454546,11,CHRISTUS GOOD SHEPHERD MEDICAL CENTER,TX,LONGVIEW,4.0,CHRISTUS GOOD SHEPHERD MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Rolling Plains Memorial Hospital,045055,TX,4441,4337,4381,4717,4446,4743,3803,4077,3472,3338,3311,ROLLING PLAINS MEMORIAL HOSPITAL,4096.909090909091,11,ROLLING PLAINS MEMORIAL HOSPITAL,TX,SWEETWATER,,ROLLING PLAINS MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Midland Memorial Hospital,81.0,Fuzzy name
Texas Health Arlington Memorial Hospital,045064,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,32096.090909090908,10,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,ARLINGTON,4.0,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,Review,BDC,TX Health Arlington Memorial Hosp,90.4,Fuzzy name
Anson General Hospital,045078,TX,17588,16995,17642,17471,17925,18948,14567,17562,15999,15448,14901,ANSON GENERAL HOSPITAL,16822.363636363636,11,ANSON GENERAL HOSPITAL,TX,ANSON,,ANSON GENERAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,MEMORIAL HERMANN SW HOSPITAL,68.0,Fuzzy name
Christus Spohn Health System Corporation,045082,TX,12743,12243,12759,12539,13141,13583,12478,13207,12542,12699,12682,CHRISTUS SPOHN CORPORATION,12783.272727272728,11,,,,,,No match,70.0,No,,Christus Mother Frances Tyler,54.5,Fuzzy name
Knapp Medical Center,045128,TX,9797,9415,9823,9632,10106,10457,9585,10152,9631,9755,9748,KNAPP MED CTR,9827.363636363636,11,KNAPP MEDICAL CENTER,TX,WESLACO,5.0,KNAPP MED CTR,Exact/fuzzy hospital name,100.0,No,,B S & W MEDICAL CENTER UPTOWN,70.0,Fuzzy name
Permian Regional Medical Center,045144,TX,7729,7468,7752,7677,7877,8326,6401,7717,7031,6788,6548,PERMIAN REGIONAL MED CTR,7392.181818181818,11,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,TX,ANDREWS,,PERMIAN REGIONAL MED CTR ANDREWS COUNTY HO,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Val Verde Regional Medical Center,045154,TX,5166,4994,5233,5218,5192,5448,4640,5320,4910,4806,4648,VAL VERDE REGIONAL MED CTR,5052.272727272727,11,VAL VERDE REGIONAL MEDICAL CENTER,TX,DEL RIO,3.0,VAL VERDE REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Mission Hospital Inc,045176,TX,8619,8283,8642,8474,8892,9200,8433,8932,8473,8583,8577,MISSION HOSPITAL INC,8646.181818181818,11,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,62.5,Fuzzy name
Paris Regional Medical Center,045196,TX,11839,11440,11875,11760,12066,12754,8757,10558,9619,9287,8958,PARIS REGIONAL MED CTR,10810.272727272728,11,PARIS REGIONAL MEDICAL CENTER,TX,PARIS,1.0,PARIS REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Christus Santa Rosa Health Care Corporation,045237,TX,11588,11134,11602,11402,11950,12352,11347,12009,11405,11548,11532,CHRISTUS SANTA ROSA HEALTH CARE CORPORATION,11624.454545454546,11,,,,,,No match,82.6,No,,Texas Health Hospital Frisco,53.5,Fuzzy name
Bellville Medical Center,045253,TX,10759,10396,10791,10687,10964,11590,8910,10742,9787,9449,9115,BELLVILLE MED CTR,10290.0,11,BELLVILLE MEDICAL CENTER,TX,BELLVILLE,,BELLVILLE MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Texas Health Stephenville,045351,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH STEPHENVILLE,32096.090909090908,10,,,,,,No match,65.7,No,,Texas Health Hospital Frisco,64.9,Fuzzy name
Childress Regional Medical Center,045369,TX,6882,7466,7749,6615,6527,6626,5556,6133,5505,5477,5254,CHILDRESS REGIONAL MED CTR,6344.545454545455,11,CHILDRESS REGIONAL MEDICAL CENTER,TX,CHILDRESS,,CHILDRESS REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Columbus Community Hospital,045370,TX,5599,5380,5606,5509,5774,5968,5482,5803,5511,5580,5572,COLUMBUS COMMUNITY HOSPITAL,5616.727272727273,11,COLUMBUS COMMUNITY HOSPITAL,TX,COLUMBUS,2.0,COLUMBUS COMMUNITY HOSPITAL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,60.4,Fuzzy name
Dallas Medical Center Llc,045379,TX,7240,6957,7259,7118,7468,7727,7083,7502,7117,7209,7204,DALLAS MED CTR LLC,7262.181818181818,11,DALLAS MEDICAL CENTER,TX,DALLAS,3.0,DALLAS MED CTR,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,70.3,Fuzzy name
Eastland Memorial Hospital,045411,TX,0,0,0,0,0,0,0,0,0,0,0,EASTLAND MEMORIAL HOSPITAL,0.0,0,MEMORIAL HOSPITAL,TX,GONZALES,,MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,Review,BDC,Midland Memorial Hospital,86.3,Fuzzy name
Glen Rose Medical Center,045451,TX,18200,17486,18223,17908,18768,19399,17821,18862,17913,18137,18112,GLEN ROSE MED CTR,18257.18181818182,11,GLEN ROSE MEDICAL CENTER,TX,GLEN ROSE,,GLEN ROSE MED CTR,Exact/fuzzy hospital name,100.0,No,,HENDRICK MEDICAL CENTER,66.7,Fuzzy name
Stephens Memorial Hospital,045498,TX,0,0,0,0,0,0,0,0,0,0,0,STEPHENS MEMORIAL HOSPITAL,0.0,0,MEMORIAL HOSPITAL,TX,GONZALES,,MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,MEMORIAL HERMANN SW HOSPITAL,81.5,Fuzzy name
Palo Pinto General Hospital,045565,TX,4510,4334,4522,4434,4652,4814,4412,4674,4434,4491,4488,PALO PINTO GENERAL HOSPITAL,4524.090909090909,11,PALO PINTO GENERAL HOSPITAL,TX,MINERAL WELLS,3.0,PALO PINTO GENERAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Midland Memorial Hospital,61.5,Fuzzy name
Christus Health Southeast Texas,045573,TX,14065,13514,14082,13840,14504,14992,13772,14577,13843,14016,13997,CHRISTUS HEALTH SOUTHEAST TEXAS,14109.272727272728,11,,,,,,No match,87.3,No,,Texas Health Hospital Frisco,67.8,Fuzzy name
Seymour Hospital,045586,TX,0,0,0,0,0,0,0,0,0,0,0,SEYMOUR HOSPITAL,0.0,0,SEYMOUR HOSPITAL,TX,SEYMOUR,,SEYMOUR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Bs&W Surgical Hospital Fort Worth,66.7,Fuzzy name
