Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Memorial Hospital,450235,TX,16367,15729,16411,16092,16884,17470,16013,16961,16090,16298,16286,MEMORIAL HOSPITAL,16418.272727272728,11,MEMORIAL HOSPITAL,TX,GONZALES,,MEMORIAL HOSPITAL,CCN,,Yes,BDC,MEMORIAL HERMANN SW HOSPITAL,100.0,Fuzzy name
Christus Mother Frances Hospital-sulphur Springs,450236,TX,8194,7873,8204,8063,8450,8734,8024,8492,8065,8166,8155,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,8220.0,11,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,TX,SULPHUR SPRINGS,4.0,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,CCN,,Review,BDC+,Christus Mother Frances Tyler,88.5,Fuzzy name
Jack County Hospital District,450241,TX,0,0,0,0,0,0,0,0,0,0,0,JACK COUNTY HOSPITAL DISTRICT,0.0,0,FAITH COMMUNITY HOSPITAL,TX,JACKSBORO,,FAITH COMMUNITY HOSPITAL,CCN,,No,,HOUSTON METHODIST HOSPITAL,61.8,Fuzzy name
Texas Health Kaufman,450292,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH KAUFMAN,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,KAUFMAN,,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,CCN,,No,,Texas Health Hospital Frisco,75.0,Fuzzy name
Baylor Scott & White Medical Center - Waxahachie,450372,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE MED CTR WAXAHACHIE,11762.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,TX,WAXAHACHIE,4.0,BAYLOR SCOTT AND WHITE MED CTR WAXAHACHIE,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Ut Health East Texas Athens Hospital,450389,TX,16246,15660,16348,15762,15625,16704,15727,16190,16103,16340,16201,UT HEALTH EAST TEXAS ATHENS HOSPITAL,16082.363636363636,11,UT HEALTH EAST TEXAS ATHENS HOSPITAL,TX,ATHENS,2.0,UT HEALTH EAST TEXAS ATHENS HOSPITAL,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Chi St. Luke's Memorial Livingston,450395,TX,9763,9382,9789,9598,10071,10420,9551,10117,9597,9721,9714,CHI ST LUKE S MEMORIAL LIVINGSTON,9793.0,11,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON,TX,LIVINGSTON,4.0,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON,CCN,,No,,TX Health Arlington Memorial Hosp,66.7,Fuzzy name
Baylor Scott & White Medical Center - Uptown,450422,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE MED CTR UPTOWN,11861.0,11,BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN,TX,DALLAS,,BAYLOR SCOTT AND WHITE MED CTR UPTOWN,CCN,,Review,BDC+,B S & W MEDICAL CENTER UPTOWN,85.7,Fuzzy name
Houston Methodist Baytown Hospital,450424,TX,16929,16268,16974,16644,17463,18069,16562,17543,16642,16857,16845,HOUSTON METHODIST BAYTOWN HOSPITAL,16981.454545454544,11,HOUSTON METHODIST BAYTOWN HOSPITAL,TX,BAYTOWN,5.0,HOUSTON METHODIST BAYTOWN HOSPITAL,CCN,,Yes,BDC,HOUSTON METHODIST HOSPITAL,100.0,Fuzzy name
Tyler County Hospital District,450460,TX,7215,6975,7308,7288,7252,7609,6481,7431,6858,6712,6492,TYLER COUNTY HOSPITAL DISTRICT,7056.454545454545,11,TYLER COUNTY HOSPITAL,TX,WOODVILLE,,TYLER COUNTY HOSPITAL,CCN,,No,,HOUSTON METHODIST WEST HOSPITAL,62.3,Fuzzy name
Henderson Hospital Llc,450475,TX,16890,16281,16996,16387,16245,17367,16351,16832,16742,16988,16844,HENDERSON HOSPITAL LLC,16720.272727272728,11,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,TX,HENDERSON,5.0,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,CCN,,No,,MEMORIAL HERMANN SW HOSPITAL,60.0,Fuzzy name
Woodland Heights Medical Center,450484,TX,6443,6294,6357,6844,6452,6882,5518,5916,5038,4844,4805,WOODLAND HEIGHTS MED CTR,5944.818181818182,11,WOODLAND HEIGHTS MEDICAL CENTER,TX,LUFKIN,3.0,WOODLAND HEIGHTS MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Covenant Hospital Plainview,450539,TX,15815,15244,15914,15344,15211,16261,15310,15760,15475,15703,15570,COVENANT HOSPITAL PLAINVIEW,15600.636363636364,11,COVENANT HOSPITAL PLAINVIEW,TX,PLAINVIEW,4.0,COVENANT HOSPITAL PLAINVIEW,CCN,,No,,DOCTORS HOSPITAL AT RENAISSANCE,61.8,Fuzzy name
Shannon Medical Center,450571,TX,11564,11113,11595,11369,11929,12343,11313,11983,11368,11515,11507,SHANNON MED CTR,11599.90909090909,11,SHANNON MEDICAL CENTER,TX,SAN ANGELO,3.0,SHANNON MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
