BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Providence Holy Cross Med Ctr,CA,BDC,5,Providence Holy Cross Med Ctr | 15031 RINALDI ST | MISSION HILLS | CA | 91345 | BDC | No | Hospital,PROVIDENCE HOLY CROSS MED CTR
Providence Mission Hospital,CA,BDC,5,Providence Mission Hospital | 27700 Medical Center Rd | Mission Viejo | CA | 92691 | BDC | No | Hospital,PROVIDENCE MISSION HOSPITAL
Providence Queen of the Valley Medical Center,CA,BDC,5,Providence Queen of the Valley Medical Center | 1000 Trancas St | Napa | CA | 94558 | BDC | No | Hospital,PROVIDENCE QUEEN VALLEY MED CTR
Providence Saint Joseph Med Ctr,CA,BDC+,5,Providence Saint Joseph Med Ctr | 501 S Buena Vista St | Burbank | CA | 91505 | BDC+ | No | Hospital,PROVIDENCE ST JOSEPH MED CTR
Providence Santa Rosa Memorial Hospital,CA,BDC+,5,Providence Santa Rosa Memorial Hospital | 1165 Montgomery Dr | Santa Rosa | CA | 95405 | BDC+ | No | Hospital,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL
Providence St Joseph Hospital,CA,BDC+,5,Providence St Joseph Hospital | 1100 W Stewart Dr | Orange | CA | 92868 | BDC+ | No | Hospital,PROVIDENCE ST JOSEPH HOSPITAL
Providence St Joseph Hospital Eureka,CA,BDC,5,Providence St Joseph Hospital Eureka | 2700 Dolbeer St | Eureka | CA | 95501-4736 | BDC | No | Hospital,PROVIDENCE ST JOSEPH HOSPITAL EUREKA
Providence St Jude Medical Center,CA,BDC+,5,Providence St Jude Medical Center | 101 E Valencia Mesa Dr | Fullerton | CA | 92835 | BDC+ | No | Hospital,PROVIDENCE ST JUDE MED CTR
Providence St Mary Medical Center,CA,BDC,5,Providence St Mary Medical Center | 18300 US Highway 18 | Apple Valley | CA | 92307 | BDC | No | Hospital,PROVIDENCE ST MARY MED CTR
Ronald Reagan Ucla Med Ctr,CA,BDC,5,Ronald Reagan Ucla Med Ctr | 757 WESTWOOD PLZ | LOS ANGELES | CA | 90095 | BDC | No | Hospital,RONALD REAGAN UCLA MED CTR
Santa Monica Ucla Med Ctr,CA,BDC+,5,Santa Monica Ucla Med Ctr | 1250 16Th St | Santa Monica | CA | 90404 | BDC+ | Yes | Hospital,SANTA MONICA UCLA MED CTR
Sharp Memorial Hospital,CA,BDC,5,Sharp Memorial Hospital | 7901 FROST ST | SAN DIEGO | CA | 92123 | BDC | No | Hospital,SHARP MEMORIAL HOSPITAL
Simi Valley Hosp and Health Care SVS,CA,BDC+,5,Simi Valley Hosp and Health Care SVS | 2975 Sycamore Dr | Simi Valley | CA | 93065 | BDC+ | Yes | Hospital,SIMI VALLEY HOSP AND HEALTH CARE SVS
Southwest Healthcare Palmdale Regional Medical Center,CA,BDC,5,Southwest Healthcare Palmdale Regional Medical Center | 38600 Medical Center Dr | Palmdale | CA | 93551-4483 | BDC | No | Hospital,SOUTHWEST HEALTHCARE PALMDALE REGIONAL MED CTR
Southwest Healthcare Palmdale Regional Medical Center,CA,BDC+,5,Southwest Healthcare Palmdale Regional Medical Center | 38600 Medical Center Dr | Palmdale | CA | 93551-4483 | BDC+ | No | Hospital,SOUTHWEST HEALTHCARE PALMDALE REGIONAL MED CTR
St Johns Regional Medical Center,CA,BDC,5,St Johns Regional Medical Center | 1600 N Rose Ave | Oxnard | CA | 93030-3722 | BDC | No | Hospital,ST JOHNS REGIONAL MED CTR
St Josephs Medical Center,CA,BDC,5,St Josephs Medical Center | 1800 N California St | Stockton | CA | 95204 | BDC | No | Hospital,ST JOSEPHS MED CTR
St Josephs Medical Center,CA,BDC+,6,St Josephs Medical Center | 1800 N California St | Stockton | CA | 95204 | BDC+ | No | Hospital,ST JOSEPHS MED CTR
Stanford Health Care,CA,BDC,6,Stanford Health Care | 300 Pasteur Dr | Stanford | CA | 94305 | BDC | No | Hospital,STANFORD HEALTH CARE
