BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
REX HOSPITAL,NC,BDC+,16,REX HOSPITAL | 4420 LAKE BOONE TRL | RALEIGH | NC | 27607 | BDC+ | Yes | Hospital,REX HOSPITAL
WAKEMED CARY HOSPITAL,NC,BDC+,16,WAKEMED CARY HOSPITAL | 1900 Kildaire Farm Rd | Cary | NC | 27518 | BDC+ | No | Hospital,WAKEMED CARY HOSPITAL
SANFORD MEDICAL CENTER,ND,BDC+,16,SANFORD MEDICAL CENTER | 300 N 7Th St | Bismarck | ND | 58501 | BDC+ | Yes | Hospital,SANFORD MED CTR
Chi Health Good Samaritan,NE,BDC,16,Chi Health Good Samaritan | 10 E 31st St | Kearney | NE | 68847-2908 | BDC | No | Hospital,CHI HEALTH GOOD SAMARITAN
Chi Health Immanuel,NE,BDC,16,Chi Health Immanuel | 6901 N 72nd St | Omaha | NE | 68122-1709 | BDC | No | Hospital,CHI HEALTH IMMANUEL
Chi Health St Elizabeth,NE,BDC+,16,Chi Health St Elizabeth | 555 S 70th St | Lincoln | NE | 68510-2462 | BDC+ | Yes | Hospital,CHI HEALTH ST ELIZABETH
Nebraska Spine Hospital LLC,NE,BDC+,16,Nebraska Spine Hospital LLC | 6901 N 72nd St Ste 20300 | Omaha | NE | 68122-1755 | BDC+ | No | Hospital,NEBRASKA SPINE HOSPITAL LLC
Orthonebraska Hospital,NE,BDC+,17,Orthonebraska Hospital | 2808 S 143rd Plz | Omaha | NE | 68144-5611 | BDC+ | Yes | Hospital,ORTHONEBRASKA HOSPITAL
PHELPS MEMORIAL HEALTH CENTER,NE,BDC,17,PHELPS MEMORIAL HEALTH CENTER | 1215 Tibbals St | Holdrege | NE | 68949-1255 | BDC | No | Hospital,PHELPS MEMORIAL HEALTH CENTER
Parkland Medical Center,NH,BDC+,17,Parkland Medical Center | 1 Parkland Dr | Derry | NH | 03038-2746 | BDC+ | No | Hospital,PARKLAND MED CTR
Hackensack UMC Palisades,NJ,BDC,17,Hackensack UMC Palisades | 7600 RIVER RD | North Bergen | NJ | 07047-6217 | BDC | No | Hospital,HACKENSACK UMC PALISADES
Hackensack University Medical Center,NJ,BDC,17,Hackensack University Medical Center | 30 Prospect Ave | Hackensack | NJ | 07601-1915 | BDC | No | Hospital,HACKENSACK UNIVERSITY MED CTR
JFK University Medical Center,NJ,BDC,17,JFK University Medical Center | 65 James St | Edison | NJ | 08820-3947 | BDC | No | Hospital,JFK UNIVERSITY MED CTR
Kennedy Memorial Hospital,NJ,BDC+,17,Kennedy Memorial Hospital | 435 HURFFVILLE CROSS KEYS RD | Turnersville | NJ | 08012-2453 | BDC+ | No | Hospital,KENNEDY MEMORIAL HOSPITAL
Ocean University Medical Center,NJ,BDC+,17,Ocean University Medical Center | 425 JACK MARTIN BLVD | Brick | NJ | 08724-7732 | BDC+ | No | Hospital,OCEAN UNIVERSITY MED CTR
Robert Wood Johnson at Hamilton,NJ,BDC,17,Robert Wood Johnson at Hamilton | 1 Hamilton Health PL | Hamilton | NJ | 08690-3542 | BDC | No | Hospital,ROBERT WOOD JOHNSON HAMILTON
Virtua Our Lady of Lourdes Hospital,NJ,BDC+,17,Virtua Our Lady of Lourdes Hospital | 1600 HADDON AVE | Camden | NJ | 08103-3101 | BDC+ | Yes | Hospital,VIRTUA OUR LADY LOURDES HOSPITAL
Virtua West Jersey Health System,NJ,BDC,17,Virtua West Jersey Health System | 100 BOWMAN DR | Voorhees | NJ | 08043-9612 | BDC | Yes | Hospital,VIRTUA WEST JERSEY
Northern Nevada Medical Center,NV,BDC+,17,Northern Nevada Medical Center | 2375 E Prater Way | Sparks | NV | 89434-9641 | BDC+ | No | Hospital,NORTHERN NEVADA MED CTR
Renown Regional Medical Center,NV,BDC+,17,Renown Regional Medical Center | 1155 Mill St | Reno | NV | 89502-1576 | BDC+ | No | Hospital,RENOWN REGIONAL MED CTR
Spring Valley Medical Center,NV,BDC,17,Spring Valley Medical Center | 5400 S Rainbow Blvd | Las Vegas | NV | 89118-1859 | BDC | No | Hospital,SPRING VALLEY MED CTR
Crouse Hospital,NY,BDC+,17,Crouse Hospital | 736 Irving Ave | Syracuse | NY | 13210 | BDC+ | No | Hospital,CROUSE HOSPITAL
Highland Hospital,NY,BDC+,17,Highland Hospital | 1000 South Ave | Rochester | NY | 14620 | BDC+ | No | Hospital,HIGHLAND HOSPITAL
Hospital For Special Surgery,NY,BDC+,17,Hospital For Special Surgery | 535 E 70th St | New York | NY | 10021-4823 | BDC+ | No | Hospital,HOSPITAL FOR SPECIAL SURGERY
Millard Fillmore Suburban Hospital,NY,BDC,17,Millard Fillmore Suburban Hospital | 1540 MAPLE ROAD | BUFFALO | NY | 14221 | BDC | No | Hospital,MILLARD FILLMORE SUBURBAN HOSPITAL
New York Pres/Queens,NY,BDC,17,New York Pres/Queens | 5645 Main St | Flushing | NY | 11355 | BDC | No | Hospital,NEW YORK PRES QUEENS
Ny Presbyterian Westchester Hospital,NY,BDC,17,Ny Presbyterian Westchester Hospital | 55 Palmer Ave | Bronxville | NY | 10708 | BDC | No | Hospital,NY PRESBYTERIAN WESTCHESTER HOSPITAL
Nyu Langone Hospital Brooklyn,NY,BDC,17,Nyu Langone Hospital Brooklyn | 150 55th St | Brooklyn | NY | 11220 | BDC | Yes | Hospital,NYU LANGONE HOSPITAL BROOKLYN
Nyu Langone Hospitals,NY,BDC,17,Nyu Langone Hospitals | 259 1st St | Mineola | NY | 11501 | BDC | Yes | Hospital,NYU LANGONE HOSPITALS
Presbyterian Allen Hosp,NY,BDC,17,Presbyterian Allen Hosp | 5141 Broadway | New York | NY | 10034 | BDC | No | Hospital,PRESBYTERIAN ALLEN HOSP
Rome Memorial Hospital,NY,BDC+,18,Rome Memorial Hospital | 1500 N James St | Rome | NY | 13440 | BDC+ | No | Hospital,ROME MEMORIAL HOSPITAL
St Peter's Hospital,NY,BDC,18,St Peter's Hospital | 315 S Manning Blvd | Albany | NY | 12208 | BDC | No | Hospital,ST PETER S HOSPITAL
St. Joseph's Hospital Health Center,NY,BDC+,18,St. Joseph's Hospital Health Center | 301 Prospect Ave | Syracuse | NY | 13203 | BDC+ | Yes | Hospital,ST JOSEPH S HOSPITAL HEALTH CENTER
The New York And Presbyterian Hospital,NY,BDC,18,The New York And Presbyterian Hospital | 525 E 68th St | New York | NY | 10065-4870 | BDC | No | Hospital,NEW YORK AND PRESBYTERIAN HOSPITAL
Bethesda Hospital,OH,BDC+,18,Bethesda Hospital | 10500 Montgomery Rd | Montgomery | OH | 45242-4402 | BDC+ | No | Hospital,BETHESDA HOSPITAL
Crystal Clinic Orthopaedic Center LLC,OH,BDC+,18,Crystal Clinic Orthopaedic Center LLC | 3557 Embassy Parkway | Akron | OH | 44333 | BDC+ | No | Hospital,CRYSTAL CLINIC ORTHOPAEDIC CENTER LLC
Good Samaritan Hospital,OH,BDC,18,Good Samaritan Hospital | 375 Dixmyth Ave | Cincinnati | OH | 45220-2475 | BDC | No | Hospital,GOOD SAMARITAN HOSPITAL
Jewish Hospital,OH,BDC,18,Jewish Hospital | 4777 E Galbraith Rd | Cincinnati | OH | 45236-2725 | BDC | No | Hospital,JEWISH HOSPITAL
Lake Hospital System,OH,BDC,18,Lake Hospital System | 7590 Auburn Rd | Concord Twp | OH | 44077-9176 | BDC | No | Hospital,LAKE
Mercy Health St Vincent Medical Center,OH,BDC,18,Mercy Health St Vincent Medical Center | 2213 Cherry St | Toledo | OH | 43608-2603 | BDC | No | Hospital,MERCY HEALTH ST VINCENT MED CTR
Mercy Health West Hospital,OH,BDC,18,Mercy Health West Hospital | 3300 Mercy Health Blvd | Cincinnati | OH | 45211-1103 | BDC | No | Hospital,MERCY HEALTH WEST HOSPITAL
Mercy Hospital Anderson,OH,BDC,18,Mercy Hospital Anderson | 7500 State Rd | Cincinnati | OH | 45255-2439 | BDC | No | Hospital,MERCY HOSPITAL ANDERSON
Mercy Hospital Fairfield,OH,BDC,18,Mercy Hospital Fairfield | 3000 Mack Rd | Fairfield | OH | 45014-5335 | BDC | No | Hospital,MERCY HOSPITAL FAIRFIELD
Mercy St Anne Hospital,OH,BDC+,18,Mercy St Anne Hospital | 3404 W Sylvania Ave | Toledo | OH | 43623-4467 | BDC+ | No | Hospital,MERCY ST ANNE HOSPITAL
Mercy St Charles Hospital,OH,BDC,18,Mercy St Charles Hospital | 2600 Navarre Ave | Oregon | OH | 43616-3207 | BDC | No | Hospital,MERCY ST CHARLES HOSPITAL
Miami Valley Hospital,OH,BDC+,18,Miami Valley Hospital | 1 Wyoming St | Dayton | OH | 45409-2722 | BDC+ | No | Hospital,MIAMI VALLEY HOSPITAL
Mount Carmel New Albany Surgical Hospital,OH,BDC,18,Mount Carmel New Albany Surgical Hospital | 7333 Smiths Mill Rd | New Albany | OH | 43054-9291 | BDC | Yes | Hospital,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL
St Anns Hospital,OH,BDC,18,St Anns Hospital | 500 S Cleveland Ave | Westerville | OH | 43081-8971 | BDC | Yes | Hospital,ST ANNS HOSPITAL
Toledo Hospital,OH,BDC,18,Toledo Hospital | 2142 N Cove Blvd | Toledo | OH | 43606-3895 | BDC | No | Hospital,TOLEDO HOSPITAL
Uh Ahuja Medical Center,OH,BDC+,18,Uh Ahuja Medical Center | 3999 Richmond Rd | Beachwood | OH | 44122-6046 | BDC+ | No | Hospital,UH AHUJA MED CTR
Uh Elyria Medical Center,OH,BDC+,18,Uh Elyria Medical Center | 630 E River St | Elyria | OH | 44035-5902 | BDC+ | No | Hospital,UH ELYRIA MED CTR
Uh Parma Medical Center,OH,BDC,19,Uh Parma Medical Center | 7007 Powers Blvd | Cleveland | OH | 44129-5437 | BDC | No | Hospital,UH PARMA MED CTR
Uh Regional Hospitals Geauga Campus,OH,BDC,19,Uh Regional Hospitals Geauga Campus | 13207 Ravenna Rd | Chardon | OH | 44024-7032 | BDC | No | Hospital,UH REGIONAL HOSPITALS GEAUGA CAMPUS
Uh Saint John Medical Center,OH,BDC+,19,Uh Saint John Medical Center | 29000 Center Ridge Rd | Cleveland | OH | 44145-5219 | BDC+ | No | Hospital,UH ST JOHN MED CTR
West Chester Hospital,OH,BDC+,19,West Chester Hospital | 7700 University Dr | West Chester | OH | 45069-2505 | BDC+ | No | Hospital,WEST CHESTER HOSPITAL
Wood County Hospital,OH,BDC,19,Wood County Hospital | 950 W Wooster St | Bowling Green | OH | 43402-2603 | BDC | No | Hospital,WOOD COUNTY HOSPITAL
COMMUNITY HOSPITAL,OK,BDC,19,COMMUNITY HOSPITAL | 3100 SW 89th St | Oklahoma City | OK | 73159 | BDC | No | Hospital,COMMUNITY HOSPITAL
MCBRIDE CLINIC ORTHOPEDIC HOSP,OK,BDC+,19,MCBRIDE CLINIC ORTHOPEDIC HOSP | 9600 Broadway Ext | Oklahoma City | OK | 73114 | BDC+ | Yes | Hospital,MCBRIDE CLINIC ORTHOPEDIC HOSP
Oklahoma Surgical Hospital LLC,OK,BDC+,19,Oklahoma Surgical Hospital LLC | 2408 E 81ST ST | TULSA | OK | 74137-4215 | BDC+ | No | Hospital,OKLAHOMA SURGICAL HOSPITAL LLC
ST ANTHONY HOSPITAL,OK,BDC+,19,ST ANTHONY HOSPITAL | 1000 N Lee Ave | Oklahoma City | OK | 73102 | BDC+ | Yes | Hospital,ST ANTHONY HOSPITAL
Abington Memorial Hospital,PA,BDC,19,Abington Memorial Hospital | 1200 Old York Road | Abington | PA | 19001 | BDC | No | Hospital,ABINGTON MEMORIAL HOSPITAL
AHN Wexford Hospital,PA,BDC+,19,AHN Wexford Hospital | 12351 PERRY HIGHWAY | WEXFORD | PA | 15090 | BDC+ | Yes | Hospital,AHN WEXFORD HOSPITAL
Allegheny General Hospital,PA,BDC,19,Allegheny General Hospital | 320 E North Ave | Pittsburgh | PA | 15212 | BDC | Yes | Hospital,ALLEGHENY GENERAL HOSPITAL
Allegheny General Hospital,PA,BDC+,19,Allegheny General Hospital | 320 E North Ave | Pittsburgh | PA | 15212 | BDC+ | Yes | Hospital,ALLEGHENY GENERAL HOSPITAL
DOYLESTOWN HOSPITAL,PA,BDC,19,DOYLESTOWN HOSPITAL | 595 West State Street | Doylestown | PA | 18901 | BDC | No | Hospital,DOYLESTOWN HOSPITAL
Ephrata Community Hospital,PA,BDC+,19,Ephrata Community Hospital | 169 Martin Ave | Ephrata | PA | 17522 | BDC+ | No | Hospital,EPHRATA COMMUNITY HOSPITAL
Forbes Hospital,PA,BDC,19,Forbes Hospital | 2570 Haymaker Road | Monroeville | PA | 15146 | BDC | Yes | Hospital,FORBES HOSPITAL
Forbes Hospital,PA,BDC+,19,Forbes Hospital | 2570 Haymaker Road | Monroeville | PA | 15146 | BDC+ | Yes | Hospital,FORBES HOSPITAL
Geisinger Community Med Ctr,PA,BDC,19,Geisinger Community Med Ctr | 1800 Mulberry St | Scranton | PA | 18510 | BDC | No | Hospital,GEISINGER COMMUNITY MED CTR
Geisinger Medical Center,PA,BDC,19,Geisinger Medical Center | 100 N Academy Ave | Danville | PA | 17822 | BDC | No | Hospital,GEISINGER MED CTR
Geisinger Wyoming Valley Medical Center,PA,BDC,19,Geisinger Wyoming Valley Medical Center | 1000 EAST MOUNTAIN BOULEVARD | WILKES BARRE | PA | 18711 | BDC | No | Hospital,GEISINGER WYOMING VALLEY MED CTR
HERITAGE VALLEY SEWICKLEY,PA,BDC+,19,HERITAGE VALLEY SEWICKLEY | 720 Blackburn Rd | Sewickley | PA | 15143 | BDC+ | Yes | Hospital,HERITAGE VALLEY SEWICKLEY
Jefferson Health Northeast,PA,BDC+,19,Jefferson Health Northeast | 380 North Oxford Valley Road | Langhorne | PA | 19047 | BDC+ | No | Hospital,JEFFERSON HEALTH NORTHEAST
Jefferson Regional Medical Center,PA,BDC,19,Jefferson Regional Medical Center | 565 Coal Valley Road | Jefferson Hills | PA | 15025 | BDC | Yes | Hospital,JEFFERSON REGIONAL MED CTR
Jefferson Regional Medical Center,PA,BDC+,20,Jefferson Regional Medical Center | 565 Coal Valley Road | Jefferson Hills | PA | 15025 | BDC+ | Yes | Hospital,JEFFERSON REGIONAL MED CTR
Lancaster General Hospital,PA,BDC,20,Lancaster General Hospital | 555 N Duke St | Lancaster | PA | 17602 | BDC | No | Hospital,LANCASTER GENERAL HOSPITAL
Lancaster General Hospital,PA,BDC+,20,Lancaster General Hospital | 555 N Duke St | Lancaster | PA | 17602 | BDC+ | No | Hospital,LANCASTER GENERAL HOSPITAL
Lansdale Hospital,PA,BDC+,20,Lansdale Hospital | 100 Medical Campus Drive | Lansdale | PA | 19446 | BDC+ | No | Hospital,LANSDALE HOSPITAL
Lewistown Hospital,PA,BDC,20,Lewistown Hospital | 400 Highland Ave | Lewistown | PA | 17044 | BDC | No | Hospital,LEWISTOWN HOSPITAL
MAIN LINE HOSPITALS INC - BRYN MAWR,PA,BDC,20,MAIN LINE HOSPITALS INC - BRYN MAWR | 130 South Bryn Mawr Ave | Bryn Mawr | PA | 19010 | BDC | No | Hospital,MAIN LINE HOSPITALS BRYN MAWR
OSS Orthopaedic Hospital LLC,PA,BDC,20,OSS Orthopaedic Hospital LLC | 1861 Powder Mill Rd | York | PA | 17402 | BDC | No | Hospital,OSS ORTHOPAEDIC HOSPITAL LLC
OSS Orthopaedic Hospital LLC,PA,BDC+,20,OSS Orthopaedic Hospital LLC | 1861 Powder Mill Rd | York | PA | 17402 | BDC+ | No | Hospital,OSS ORTHOPAEDIC HOSPITAL LLC
Presbyterian Medical Center,PA,BDC,20,Presbyterian Medical Center | 51 N 39th St | Philadelphia | PA | 19104 | BDC | No | Hospital,PRESBYTERIAN MED CTR
Riddle Memorial Hospital,PA,BDC,20,Riddle Memorial Hospital | 1068 West Baltimore Pk | Media | PA | 19063 | BDC | No | Hospital,RIDDLE MEMORIAL HOSPITAL
Rothman Orthopaedic Specialty Hospital,PA,BDC+,20,Rothman Orthopaedic Specialty Hospital | 3300 Tillman Drive | Bensalem | PA | 19020 | BDC+ | No | Hospital,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL
SAINT VINCENT HEALTH CENTER,PA,BDC,20,SAINT VINCENT HEALTH CENTER | 232 W 25th St | Erie | PA | 16544 | BDC | Yes | Hospital,ST VINCENT HEALTH CENTER
SAINT VINCENT HEALTH CENTER,PA,BDC+,20,SAINT VINCENT HEALTH CENTER | 232 W 25th St | Erie | PA | 16544 | BDC+ | Yes | Hospital,ST VINCENT HEALTH CENTER
ST LUKES HOSPITAL ANDERSON CAMPUS,PA,BDC,20,ST LUKES HOSPITAL ANDERSON CAMPUS | 1872 ST LUKES BOULEVARD | EASTON | PA | 18045 | BDC | No | Hospital,ST LUKES HOSPITAL ANDERSON CAMPUS
Thomas Jefferson University Hospitals Inc,PA,BDC,20,Thomas Jefferson University Hospitals Inc | 111 SOUTH 11TH STREET | PHILADELPHIA | PA | 19107 | BDC | No | Hospital,THOMAS JEFFERSON UNIVERSITY HOSPITALS INC
UPMC Hanover,PA,BDC,20,UPMC Hanover | 300 Highland Ave | Hanover | PA | 17331 | BDC | Yes | Hospital,UPMC HANOVER
UPMC Pinnacle Hospitals,PA,BDC,20,UPMC Pinnacle Hospitals | 111 S Front St | Harrisburg | PA | 17101 | BDC | No | Hospital,UPMC PINNACLE HOSPITALS
UPMC Pinnacle Hospitals,PA,BDC+,20,UPMC Pinnacle Hospitals | 111 S Front St | Harrisburg | PA | 17101 | BDC+ | Yes | Hospital,UPMC PINNACLE HOSPITALS
Wellspan Gettysburg Hospital,PA,BDC,20,Wellspan Gettysburg Hospital | 147 Gettys Street | Gettysburg | PA | 17325 | BDC | No | Hospital,WELLSPAN GETTYSBURG HOSPITAL
WellSpan Chambersburg Hospital,PA,BDC,20,WellSpan Chambersburg Hospital | 112 N 7th St | Chambersburg | PA | 17201 | BDC | No | Hospital,WELLSPAN CHAMBERSBURG HOSPITAL
WellSpan Surgery and Rehabilitation Hospital,PA,BDC,21,WellSpan Surgery and Rehabilitation Hospital | 55 Monument Rd | York | PA | 17403 | BDC | No | Hospital,WELLSPAN SURGERY AND REHABILITATION HOSPITAL
York Hospital,PA,BDC,21,York Hospital | 1001 S George St | York | PA | 17405 | BDC | No | Hospital,YORK HOSPITAL
ANMED HEALTH,SC,BDC,21,ANMED HEALTH | 800 N FANT ST | ANDERSON | SC | 29621 | BDC | Yes | Hospital,ANMED HEALTH
BEAUFORT MEMORIAL HOSPITAL,SC,BDC,21,BEAUFORT MEMORIAL HOSPITAL | 955 RIBAUT RD | BEAUFORT | SC | 29902 | BDC | No | Hospital,BEAUFORT MEMORIAL HOSPITAL
BON SECOURS ST FRANCIS XAVIER HOSPITA,SC,BDC,21,BON SECOURS ST FRANCIS XAVIER HOSPITA | 2095 Henry Tecklenburg Dr | Charleston | SC | 29414 | BDC | No | Hospital,BON SECOURS ST FRANCIS XAVIER HOSPITA
Conway Medical Center,SC,BDC+,21,Conway Medical Center | 300 Singleton Ridge Rd | Conway | SC | 29526 | BDC+ | No | Hospital,CONWAY MED CTR
East Cooper Medical Center,SC,BDC,21,East Cooper Medical Center | 2000 HOSPITAL DR | MOUNT PLEASANT | SC | 29464 | BDC | No | Hospital,EAST COOPER MED CTR
Grand Strand Regional Medical Center,SC,BDC+,21,Grand Strand Regional Medical Center | 809 82ND PKWY | MYRTLE BEACH | SC | 29572 | BDC+ | No | Hospital,GRAND STRAND REGIONAL MED CTR
Hilton Head Hospital,SC,BDC,21,Hilton Head Hospital | 25 HOSPITAL CENTER BLVD | HILTON HEAD ISLAND | SC | 29926 | BDC | No | Hospital,HILTON HEAD HOSPITAL
Lexington Medical Center,SC,BDC,21,Lexington Medical Center | 2720 Sunset Blvd | West Columbia | SC | 29169 | BDC | No | Hospital,LEXINGTON MED CTR
Medical University Hospital,SC,BDC,21,Medical University Hospital | 169 ASHLEY AVE | CHARLESTON | SC | 29425 | BDC | Yes | Hospital,MEDICAL UNIVERSITY HOSPITAL
MUSC HEALTH COLUMBIA MEDICAL CTR NE,SC,BDC+,21,MUSC HEALTH COLUMBIA MEDICAL CTR NE | 120 GATEWAY CORPORATE BLVD | COLUMBIA | SC | 29203 | BDC+ | Yes | Hospital,MUSC HEALTH COLUMBIA MEDICAL CTR NE
Pelham Medical Center,SC,BDC,21,Pelham Medical Center | 250 WESTMORELAND RD | GREER | SC | 29651 | BDC | Yes | Hospital,PELHAM MED CTR
Piedmont Medical Center,SC,BDC,21,Piedmont Medical Center | 222 Herlong Ave S | Rock Hill | SC | 29732 | BDC | No | Hospital,PIEDMONT MED CTR
Prisma Health Baptist Hospital,SC,BDC,21,Prisma Health Baptist Hospital | 1330 TAYLOR ST | COLUMBIA | SC | 29201 | BDC | No | Hospital,PRISMA HEALTH BAPTIST HOSPITAL
Prisma Health Baptist Parkridge Hospita,SC,BDC+,21,Prisma Health Baptist Parkridge Hospita | 400 PALMETTO HEALTH PKWY | COLUMBIA | SC | 29212 | BDC+ | No | Hospital,PRISMA HEALTH BAPTIST PARKRIDGE HOSPITA
PRISMA HEALTH PATEWOOD HOSP,SC,BDC,22,PRISMA HEALTH PATEWOOD HOSP | 175 PATEWOOD DR | GREENVILLE | SC | 29615 | BDC | No | Hospital,PRISMA HEALTH PATEWOOD HOSP
Rock Hill Hospital Piedmont Medical Net,SC,BDC,22,Rock Hill Hospital Piedmont Medical Net | 1000 Wellness Way | Fort Mill | SC | 29715 | BDC | No | Hospital,ROCK HILL HOSPITAL PIEDMONT MEDICAL NET
Self Regional Healthcare Otpt Svcs,SC,BDC,22,Self Regional Healthcare Otpt Svcs | 1325 SPRING ST | GREENWOOD | SC | 29646 | BDC | Yes | Hospital,SELF REGIONAL HEALTHCARE OTPT SVCS
ST FRANCIS HOSPITAL INC,SC,BDC,22,ST FRANCIS HOSPITAL INC | 1 SAINT FRANCIS DR | GREENVILLE | SC | 29601 | BDC | No | Hospital,ST FRANCIS HOSPITAL INC
Waccamaw Community Hospital,SC,BDC,22,Waccamaw Community Hospital | 4070 Highway 17 | Murrells Inlet | SC | 29576 | BDC | Yes | Hospital,WACCAMAW COMMUNITY HOSPITAL
Sioux Falls Specialty Hospital,SD,BDC+,22,Sioux Falls Specialty Hospital | 910 E 20Th St | Sioux Falls | SD | 57105-1012 | BDC+ | Yes | Hospital,SIOUX FALLS SPECIALTY HOSPITAL
Ascension Saint Thomas Hospital,TN,BDC,22,Ascension Saint Thomas Hospital | 4220 Harding Pike | Nashville | TN | 37205-9998 | BDC | No | Hospital,ASCENSION ST THOMAS HOSPITAL
Ascension Saint Thomas Rutherford Hospital,TN,BDC,22,Ascension Saint Thomas Rutherford Hospital | 1700 Medical Center Pkwy | Murfreesboro | TN | 37129 | BDC | No | Hospital,ASCENSION ST THOMAS RUTHERFORD HOSPITAL
Baptist Memorial Hospital Memphis,TN,BDC,22,Baptist Memorial Hospital Memphis | 1500 W Poplar Ave | Collierville | TN | 38017 | BDC | Yes | Hospital,BAPTIST MEMORIAL HOSPITAL MEMPHIS
Erlanger Health,TN,BDC+,22,Erlanger Health | 975 E 3rd St | CHATTANOOGA | TN | 37403-2147 | BDC+ | Yes | Hospital,ERLANGER HEALTH
Fort Sanders Regional Medical Center,TN,BDC,22,Fort Sanders Regional Medical Center | 1901 W Clinch Ave | Knoxville | TN | 37916 | BDC | No | Hospital,FORT SANDERS REGIONAL MED CTR
Memorial Hospital,TN,BDC+,22,Memorial Hospital | 2525 DeSales Ave | Chattanooga | TN | 37404 | BDC+ | No | Hospital,MEMORIAL HOSPITAL
Methodist Medical Center of Oak Ridge,TN,BDC+,22,Methodist Medical Center of Oak Ridge | 990 Oak Ridge Tpke | Oak Ridge | TN | 37830 | BDC+ | No | Hospital,METHODIST MED CTR OAK RIDGE
Parkridge Medical Center,TN,BDC,22,Parkridge Medical Center | 2333 McCallie Ave | Chattanooga | TN | 37404-9998 | BDC | No | Hospital,PARKRIDGE MED CTR
Parkwest Medical Center,TN,BDC+,22,Parkwest Medical Center | 9352 Park West Blvd | Knoxville | TN | 37923-4387 | BDC+ | No | Hospital,PARKWEST MED CTR
TriStar Stonecrest Medical Center,TN,BDC,22,TriStar Stonecrest Medical Center | 200 StoneCrest Blvd | Smyrna | TN | 37167 | BDC | No | Hospital,TRISTAR STONECREST MED CTR
TriStar Summit Medical Center,TN,BDC,22,TriStar Summit Medical Center | 5655 Frist Blvd | Hermitage | TN | 37076 | BDC | No | Hospital,TRISTAR SUMMIT MED CTR
University of Tennessee Medical Center,TN,BDC+,22,University of Tennessee Medical Center | 1924 Alcoa Hwy | Knoxville | TN | 37920-9998 | BDC+ | No | Hospital,UNIVERSITY TENNESSEE MED CTR
Ascension Seton Hays,TX,BDC,22,Ascension Seton Hays | 6001 KYLE PKWY | KYLE | TX | 78640-6112 | BDC | Yes | Hospital,ASCENSION SETON HAYS
Ascension Seton Med Center Austin,TX,BDC,22,Ascension Seton Med Center Austin | 1201 WEST 38TH STREET | AUSTIN | TX | 78705-0000 | BDC | Yes | Hospital,ASCENSION SETON MED CENTER AUSTIN
ASCENSION PROVIDENCE,TX,BDC+,23,ASCENSION PROVIDENCE | 6901 MEDICAL PKWY | WACO | TX | 76712-7910 | BDC+ | Yes | Hospital,ASCENSION PROVIDENCE
ASCENSION SETON WILLIAMSON,TX,BDC,23,ASCENSION SETON WILLIAMSON | 201 SETON PKWY | ROUND ROCK | TX | 78665-2268 | BDC | Yes | Hospital,ASCENSION SETON WILLIAMSON
B S & W MEDICAL CENTER UPTOWN,TX,BDC+,23,B S & W MEDICAL CENTER UPTOWN | 2727 E Lemmon Ave | Dallas | TX | 75204-2833 | BDC+ | No | Hospital,B S AND W MED CTR UPTOWN
Baylor University Medical Center,TX,BDC,23,Baylor University Medical Center | 3500 GASTON AVE | DALLAS | TX | 75246-2017 | BDC | No | Hospital,BAYLOR UNIVERSITY MED CTR
BAYLOR SURGICAL HOSP LAS COLINAS,TX,BDC,23,BAYLOR SURGICAL HOSP LAS COLINAS | 400 Lyndon B Johnson Fwy | Irving | TX | 75063-3718 | BDC | No | Hospital,BAYLOR SURGICAL HOSP LAS COLINAS
Bs&W Surgical Hospital Fort Worth,TX,BDC,23,Bs&W Surgical Hospital Fort Worth | 1800 PARK PLACE AVE | FORT WORTH | TX | 76110-1302 | BDC | No | Hospital,BS AND W SURGICAL HOSPITAL FORT WORTH
BS&W MEDICAL CENTER FRISCO,TX,BDC,23,BS&W MEDICAL CENTER FRISCO | 5601 Warren Pkwy | Frisco | TX | 75034-4069 | BDC | No | Hospital,BS AND W MED CTR FRISCO
BS&W MEDICAL CENTER MCKINNEY,TX,BDC,23,BS&W MEDICAL CENTER MCKINNEY | 5252 W UNIVERSITY DR | MCKINNEY | TX | 75071-7822 | BDC | No | Hospital,BS AND W MED CTR MCKINNEY
BS&W MEDICAL CENTER ROUND ROCK,TX,BDC+,23,BS&W MEDICAL CENTER ROUND ROCK | 300 UNIVERSITY BLVD | ROUND ROCK | TX | 78665-1032 | BDC+ | No | Hospital,BS AND W MED CTR ROUND ROCK
BS&W TEXAS SPINE & JOINT HOSPITAL,TX,BDC+,23,BS&W TEXAS SPINE & JOINT HOSPITAL | 1814 ROSELAND BLVD | TYLER | TX | 75701-4234 | BDC+ | No | Hospital,BS AND W TEXAS SPINE AND JOINT HOSPITAL
Chi St Lukes Hlth Baylor Coll Med,TX,BDC+,23,Chi St Lukes Hlth Baylor Coll Med | 6720 BERTNER STREET | HOUSTON | TX | 77225-0000 | BDC+ | No | Hospital,CHI ST LUKES HLTH BAYLOR COLL MED
