Page,Table,Row,Extracted_Row
7,2,1,DESIGNATION
7,2,2,TYPE
7,3,1,CONSUMER
7,3,2,TRANSPARENCY1
7,4,1,CENTER
7,4,2,TYPE2
8,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
8,1,2,Cleveland Clinic Tradition Hospital | 10000 SW Innovation Way | Port Saint Lucie | FL | 34987 | BDC | No | Hospital
8,1,3,Delray Beach Surgical Suites | 555 SE 5Th Ave | Delray Beach | FL | 33483 | BDC | Yes | ASC
8,1,4,Delray Medical Center | 5352 Linton Blvd | Delray Beach | FL | 33484 | BDC | Yes | Hospital
8,1,5,Halifax Medical Center | 303 N Clyde Morris Blvd | Daytona Beach | FL | 32114 | BDC | No | Hospital
8,1,6,HCA Florida Blake Hospital | 2020 59Th St W | Bradenton | FL | 34209 | BDC | Yes | Hospital
8,1,7,HCA Florida Fawcett Hospital | 21298 Olean Blvd | Port Charlotte | FL | 33952 | BDC | Yes | Hospital
8,1,8,HCA Florida Memorial Hospital | 3625 University Blvd S | Jacksonville | FL | 32216 | BDC | Yes | Hospital
8,1,9,HCA Florida Palms West Hospital | 13001 Southern Blvd | Loxahatchee | FL | 33470 | BDC+ | No | Hospital
8,1,10,HCA FLORIDA KENDALL HOSPITAL | 11750 SW 40TH ST | Miami | FL | 33175 | BDC | No | Hospital
8,1,11,HCA FLORIDA NORTHWEST HOSPITAL | 2801 N STATE ROAD 7 | Margate | FL | 33063 | BDC | No | Hospital
8,1,12,HCA FLORIDA ORANGE PARK HOSPITAL | 2001 KINGSLEY AVE | Orange Park | FL | 32073 | BDC | No | Hospital
8,1,13,Lakewood Ranch Medical Center | 8330 Lakewood Ranch Blvd | Lakewood Ranch | FL | 34202 | BDC | No | Hospital
8,1,14,Mayo Clinic Florida Hospital | 4500 San Pablo Rd S | Jacksonville | FL | 32224 | BDC+ | No | Hospital
8,1,15,"Melbourne Surgery Center (ASC) | 95 Bulldog Blvd, Suite 104 | Melbourne | FL | 32901 | BDC | No | ASC"
8,1,16,Mount Sinai Medical Center | 4300 ALTON RD | Miami Beach | FL | 33140 | BDC+ | No | Hospital
8,1,17,Orlando Health Central | 10000 W Colonial Dr | Ocoee | FL | 34761 | BDC | Yes | Hospital
8,1,18,"Orthopedic Surgery Center of Palm Beach County,LLC | 10275 Hagen Ranch Road, Suite 100 | Boynton Beach | FL | 33437 | BDC | No | ASC"
8,1,19,Sarasota Memorial Hospital | 1700 S Tamiami Trl | Sarasota | FL | 34239 | BDC | No | Hospital
8,1,20,Shands and University of Florida Health Care Ntwk | 1600 SW ARCHER RD | Gainesville | FL | 32610 | BDC+ | Yes | Hospital
8,1,21,St Marys Medical Center | 901 45th St | West Palm Beach | FL | 33407 | BDC | Yes | Hospital
8,1,22,West Boca Medical Center | 21644 STATE ROAD 7 | Boca Raton | FL | 33428 | BDC | No | Hospital
8,1,23,Chatham Orthopaedic Surgery Center | 4425 Paulsen St | Savannah | GA | 31405-3663 | BDC+ | No | ASC
8,2,1,DESIGNATION
8,2,2,TYPE
8,3,1,CONSUMER
8,3,2,TRANSPARENCY1
8,4,1,CENTER
8,4,2,TYPE2
9,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
9,1,2,Coliseum Medical Center | 350 Hospital Dr | Macon | GA | 31217-3838 | BDC+ | No | Hospital
9,1,3,Macon Northside Hospital | 400 Charter Blvd | Macon | GA | 31210-4831 | BDC+ | No | Hospital
9,1,4,Northside Hospital | 1000 Johnson Ferry Rd | Atlanta | GA | 30342-1606 | BDC | No | Hospital
9,1,5,Northside Hospital Cherokee | 450 Northside Cherokee Blvd | Canton | GA | 30115-8015 | BDC | No | Hospital
9,1,6,Northside Hospital Forsyth | 1200 Northside Forsyth Dr | Cumming | GA | 30041-7659 | BDC | No | Hospital
